id,Name,Nationality,Club,Score,International_reputation
14386,M. Rodin,Bosnia and Herzegovina,Perugia,61,1
14387,Paulinho,Brazil,FC Midtjylland,61,1
14388,T. Garcia,France,Paris FC,61,1
14389,M. Drennan,Ireland,St. Patrick's Athletic,61,1
14390,C. Thomas,United Kingdom,Cheltenham Town,61,1
14391,J. Björkman,Sweden,AFC Eskilstuna,61,1
14392,J. Chalmers,United Kingdom,Ross County FC,61,1
14393,K. Wright,United Kingdom,Örebro SK,61,1
14394,S. Griffin,Ireland,Cork City,61,1
14395,J. Robinson,United States,DC United,61,1
14396,E. Ham,Argentina,Argentinos Juniors,61,1
14397,L. Passerini,Argentina,CD Palestino,61,1
14398,K. Wootton,United Kingdom,Scunthorpe United,61,1
14399,J. Henríquez,Chile,Audax Italiano,61,1
14400,C. Horgan,Ireland,Cork City,61,1
14401,Qi Tianyu,China,Shandong Luneng TaiShan FC,61,1
14402,A. Mohammad,Denmark,Lyngby BK,61,1
14403,F. Ghazi,Saudi Arabia,Al Shabab,61,1
14404,T. Sugimoto,Japan,Matsumoto Yamaga,61,1
14405,Jeong Dong Yun,South Korea,Incheon United FC,61,1
14406,K. Yajima,Japan,FC Tokyo,61,1
14407,A. Al Obud,Saudi Arabia,Al Ittihad,61,1
14408,R. Obermair,Germany,FC Carl Zeiss Jena,61,1
14409,Park Jun Hyeong,South Korea,Suwon Samsung Bluewings,61,1
14410,E. Collier,New Zealand,Chicago Fire,61,1
14411,H. Paul,Germany,TSV 1860 München,61,1
14412,G. Henriksson,Sweden,IF Elfsborg,61,1
14413,F. Sjølstad,Norway,Molde FK,61,1
14414,F. Drinkuth,Germany,Hallescher FC,61,1
14415,D. Carrasco,Chile,Universidad de Chile,61,1
14416,M. Çelik,Turkey,SV Waldhof Mannheim,61,1
14417,T. Duponchelle,France,Le Mans FC,61,1
14418,P. Nsiah,France,Academica Clinceni,61,1
14419,M. Puschl,Austria,SCR Altach,61,1
14420,L. Sorrentino,Italy,Castellammare di Stabia,61,1
14421,J. Ruiz Gomez,Argentina,Central Córdoba,61,1
14422,B. Nimaga,Mali,TSV Hartberg,61,1
14423,E. Fernández,Mexico,Tigres U.A.N.L.,61,1
14424,J. Powell,United Kingdom,Crawley Town,61,1
14425,S. Kavanagh,Ireland,Shamrock Rovers,61,1
14426,D. Evtimov,Bulgaria,Accrington Stanley,61,1
14427,Y. Takahashi,Japan,Sagan Tosu,61,1
14428,D. Serna,United States,Colorado Rapids,61,1
14429,P. Da Silva,Denmark,Lyngby BK,61,1
14430,W. Cuesta,Colombia,Deportes Tolima,61,1
14431,C. Martin,United States,Minnesota United FC,61,1
14432,Kim Dong Jin,South Korea,Daegu FC,61,1
14433,S. Burgess,United Kingdom,Port Vale,61,1
14434,E. Edwards Jr.,United States,DC United,61,1
14435,B. Moore,United States,Atlanta United,61,1
14436,K. Howkins,United Kingdom,Newport County,61,1
14437,H. Belal,Saudi Arabia,Al Wehda,61,1
14438,R. Tongyik,Australia,Central Coast Mariners,61,1
14439,E. Maanane,France,Rodez Aveyron Football,61,1
14440,Ko Tae Won,South Korea,Sangju Sangmu FC,61,1
14441,M. Kanabah,Saudi Arabia,Al Fateh,61,1
14442,O. Hawsawi,Saudi Arabia,Al Hazem,61,1
14443,R. Laidlaw,United Kingdom,Ross County FC,61,1
14444,K. Anzai,Japan,Sagan Tosu,61,1
14445,David Cardoso,Macao,FC Girondins de Bordeaux,61,1
14446,A. Jenssen,Norway,Tromsø IL,61,1
14447,C. Găină,Romania,Academica Clinceni,61,1
14448,F. Gülmez,Turkey,Gazişehir Gaziantep F.K.,61,1
14449,A. Tchang-Tchong,France,Dijon FCO,61,1
14450,D. Jarl,Sweden,IK Sirius,61,1
14451,D. Amankwaa,Denmark,SønderjyskE,61,1
14452,R. Charles-Cook,United Kingdom,Macclesfield Town,61,1
14453,G. Taft,United Kingdom,Cambridge United,61,1
14454,E. Oyeleke,United Kingdom,Port Vale,61,1
14455,B. Nugent,United Kingdom,Stevenage,61,1
14456,R. Udegbe,Germany,KFC Uerdingen 05,61,1
14457,F. Flores,Mexico,Tiburones Rojos de Veracruz,61,1
14458,M. Acton,Australia,Melbourne Victory,61,1
14459,A. Jagiełło,Poland,Piast Gliwice,61,1
14460,A. Al Nazera,Saudi Arabia,Al Adalah,61,1
14461,R. Hunt,United Kingdom,Swindon Town,61,1
14462,J. McCourt,United Kingdom,Macclesfield Town,61,1
14463,L. Pierce,Argentina,FC Botoşani,61,2
14464,Sergio,Spain,CD Mirandés,61,1
14465,Chen Hao,China,Henan Jianye FC,61,1
14466,Shan Pengfei,China,Dalian YiFang FC,61,1
14467,H. Acar,Turkey,Kayserispor,61,1
14468,Li Yuanyi,China,Shenzhen FC,61,1
14469,T. Rieder,Germany,FC Augsburg,61,1
14470,N. Giraldo,Colombia,Envigado FC,61,1
14471,Guo Hao,China,Tianjin TEDA FC,61,1
14472,M. Engelhardt,Germany,Eintracht Braunschweig,61,1
14473,A. Alégué,Cameroon,FC Nantes,61,1
14474,H. Fukushima,Japan,Urawa Red Diamonds,61,1
14475,S. Keskin,Turkey,Gazişehir Gaziantep F.K.,61,1
14476,A. May,United Kingdom,Doncaster Rovers,61,1
14477,T. Iida,Japan,Shimizu S-Pulse,61,1
14478,M. Al Dhaw,Sudan,Al Fateh,61,1
14479,E. Cicerelli,Italy,US Salernitana 1919,61,1
14480,C. Cooke,United Kingdom,St. Mirren,61,1
14481,I. Rønning,Norway,Ranheim Fotball,61,1
14482,Víctor Ruiz,Spain,FC St. Gallen,61,1
14483,A. Budimbu,Germany,MSV Duisburg,61,1
14484,R. Ivey,Panama,Deportivo Pasto,61,1
14485,H. Nilsson,Sweden,Falkenbergs FF,61,1
14486,A. Al Zubaidi,Saudi Arabia,Al Wehda,61,1
14487,E. Yeşilyurt,Germany,Sivasspor,61,1
14488,J. Pearson,United Kingdom,Macclesfield Town,61,1
14489,B. Garmston,Ireland,Gillingham,61,1
14490,D. Orellana,Chile,CD Everton de Viña del Mar,61,1
14491,Baek Dong Gyu,South Korea,Sangju Sangmu FC,61,1
14492,Kim Su An,South Korea,Ulsan Hyundai FC,61,1
14493,H. Sandvik,Norway,FK Haugesund,61,1
14494,D. Kozica,Sweden,AFC Eskilstuna,61,1
14495,K. Kakoi,Japan,Cerezo Osaka,61,1
14496,K. McIntosh,United States,Portland Timbers,61,1
14497,Li Peng,China,Shanghai Greenland Shenhua FC,61,1
14498,B. Janošević,Serbia,AIK,61,1
14499,S. Wilson,United Kingdom,Oldham Athletic,61,1
14500,N. Mohammad,Germany,KFC Uerdingen 05,61,1
14501,S. Al Qeshtah,Saudi Arabia,Al Hazem,61,1
14502,R. Tone,Japan,Oita Trinita,61,1
14503,V. Rață,Moldova,Chindia Târgovişte,61,1
14504,S. Ando,Japan,Kawasaki Frontale,61,1
14505,M. O'Brien,Ireland,Newport County,61,1
14506,R. Murray,Ireland,Sligo Rovers,61,1
14507,C. Clay,United Kingdom,Leyton Orient,61,1
14508,J. Keohane,Ireland,Rochdale,61,1
14509,B. Meredith,United States,Seattle Sounders FC,61,1
14510,J. Tjørnelund,Denmark,Hobro IK,61,1
14511,A. Amadi-Holloway,United Kingdom,Brisbane Roar,61,1
14512,H. Toivomäki,Finland,HJK Helsinki,61,1
14513,M. Sørensen,Denmark,Silkeborg IF,61,1
14514,F. Pinteaux,France,FC Chambly Oise,61,1
14515,Moyita,Spain,RCD Mallorca,61,1
14516,Liu Yang,China,Tianjin TEDA FC,61,1
14517,L. Lozoya,Mexico,Tiburones Rojos de Veracruz,61,1
14518,Feng Jing,China,Chongqing Dangdai Lifan FC SWM Team,61,1
14519,D. Cortés,Colombia,Jaguares de Córdoba,61,1
14520,V. Golemić,Serbia,Crotone,61,1
14521,M. Hofrath,Germany,SV Waldhof Mannheim,61,1
14522,M. Currarino,Italy,Virtus Entella,61,1
14523,B. Kindsvater,Germany,TSV 1860 München,61,1
14524,N. Albadawi,Palestine,FC Cincinnati,61,1
14525,J. Portillo,United States,Real Salt Lake,61,1
14526,Sanz,Spain,CD Mirandés,61,1
14527,D. Bulman,United Kingdom,Crawley Town,61,1
14528,X. Pinoteau,France,FC Chambly Oise,61,1
14529,P. Jones,United Kingdom,Sheffield Wednesday,61,1
14530,C. O'Grady,United Kingdom,Oldham Athletic,61,1
14531,D. Flinta,Denmark,Silkeborg IF,61,1
14532,M. Moström,Sweden,Molde FK,61,1
14533,Kim Seung Yong,South Korea,Incheon United FC,61,1
14534,T. Soares,United Kingdom,Stevenage,61,1
14535,J. O'Brien,Ireland,Shamrock Rovers,61,1
14536,M. McGlinchey,New Zealand,Central Coast Mariners,61,1
14537,E. Nolan,Ireland,Crewe Alexandra,61,1
14538,H. Ramírez,Argentina,Unión Magdalena,61,1
14539,G. Coke,United Kingdom,Oldham Athletic,61,1
14540,A. Vanins,Latvia,FC Zürich,61,1
14541,S. Old,New Zealand,Morecambe,61,1
14542,D. Vržogić,Germany,SV Meppen,61,1
14543,J. McNulty,United Kingdom,Rochdale,61,1
14544,J. Harris,United Kingdom,Macclesfield Town,61,1
14545,Cui Peng,China,Shandong Luneng TaiShan FC,61,1
14546,Liu Zhenli,China,Shandong Luneng TaiShan FC,61,1
14547,Liu Weidong,China,Chongqing Dangdai Lifan FC SWM Team,61,1
14548,Zhang Lu,China,Tianjin Quanjian FC,61,1
14549,Lei Yongchi,China,Tianjin TEDA FC,61,1
14550,K. Etuhu,Nigeria,Carlisle United,61,1
14551,B. Tozer,United Kingdom,Cheltenham Town,61,1
14552,A. Maccoppi,Italy,Servette FC,61,1
14553,Zhou Yajun,China,Shenzhen FC,61,1
14554,S. Frederiksen,Denmark,SønderjyskE,61,1
14555,João Pereira,Portugal,SønderjyskE,61,1
14556,T. Miller,United Kingdom,Bury,61,1
14557,J. McGlashan,United Kingdom,Swindon Town,61,1
14558,Feng Renliang,China,Beijing Renhe FC,61,1
14559,R. Siemaszko,Poland,Arka Gdynia,61,1
14560,Choi Hyun Tae,South Korea,Jeju United FC,61,1
14561,M. Dolan,United Kingdom,Newport County,61,1
14562,F. Adjei,Ghana,WSG Tirol,61,1
14563,O. Sveen,Norway,FK Bodø/Glimt,61,1
14564,Park Sun Yong,South Korea,Pohang Steelers,61,1
14565,N. Fitzgerald,Australia,Newcastle Jets,61,1
14566,M. Al Qarni,Saudi Arabia,Al Wehda,61,1
14567,H. Shaian,Saudi Arabia,Al Taawoun,61,1
14568,M. Hazazi,Saudi Arabia,Damac FC,61,1
14569,A. Khrees,Saudi Arabia,Al Faisaly,61,1
14570,M. Majrashi,Saudi Arabia,Al Fateh,61,1
14571,A. Majrashi,Saudi Arabia,Al Fayha,61,1
14572,T. Vollnhofer,Austria,SKN St. Pölten,61,1
14573,A. Al Saleh,Saudi Arabia,Ettifaq FC,61,1
14574,Park Hee Seong,South Korea,FC Seoul,61,1
14575,J. Matt,Jamaica,Newport County,61,1
14576,Jwa Joon Hyeop,South Korea,Gyeongnam FC,61,1
14577,Kim Tae Ho,South Korea,Incheon United FC,61,1
14578,Jung Seon Ho,South Korea,Daegu FC,61,1
14579,Jo Soo Chul,South Korea,Sangju Sangmu FC,61,1
14580,C. Elliott,United Kingdom,Carlisle United,61,1
14581,A. Arboleda,Colombia,Jaguares de Córdoba,61,1
14582,J. Vieyra,Argentina,Club Atlético Huracán,61,1
14583,J. Thorsen,Denmark,AC Horsens,61,1
14584,Zhang Lie,China,Beijing Renhe FC,61,1
14585,Ely,Cabo Verde,Gaz Metan Mediaş,61,1
14586,K. Al Kaabi,Saudi Arabia,Al Faisaly,61,1
14587,M. O'Sullivan,Ireland,Cork City,61,1
14588,Zhou Tong,China,Wuhan Zall,61,1
14589,Bai Yuefeng,China,Tianjin TEDA FC,61,1
14590,K. Akyüz,Turkey,Denizlispor,61,1
14591,N. Mousa,Saudi Arabia,Al Hazem,61,1
14592,N. Atangana,France,Exeter City,61,1
14593,L. Marić,Croatia,Arka Gdynia,61,1
14594,Jiang Jihong,China,Guangzhou R&F FC,61,1
14595,W. Mosquera,Colombia,Atlético Huila,61,1
14596,K. Garcia,United States,Houston Dynamo,61,1
14597,S. Al Masrahi,Saudi Arabia,Damac FC,61,1
14598,G. Reilly,United Kingdom,Cheltenham Town,61,1
14599,R. Takahashi,Japan,Matsumoto Yamaga,61,1
14600,I. Isa,Bulgaria,Bulgaria,61,1
14601,S. Lewicki,Poland,Raków Częstochowa,61,1
14602,F. Ali,Sweden,AFC Eskilstuna,61,1
14603,H. Nakabayashi,Japan,Yokohama F. Marinos,61,1
14604,Wang Wei,China,Shanghai Greenland Shenhua FC,61,1
14605,D. Lloyd,United Kingdom,Salford City,61,1
14606,Zhang Cheng,China,Tianjin Quanjian FC,61,1
14607,A. Al Fiqi,Saudi Arabia,Al Hilal,61,1
14608,W. Piñones,Chile,Deportes Iquique,61,1
14609,E. Kupen,Norway,FK Bodø/Glimt,61,1
14610,Ma Xingyu,China,Henan Jianye FC,61,1
14611,P. Di Nardo,Switzerland,Neuchâtel Xamax,61,1
14612,Javi Pérez,Spain,Extremadura UD,61,1
14613,T. Englund,Sweden,Falkenbergs FF,61,1
14614,L. Hroššo,Slovakia,Cracovia,61,1
14615,Liu Yi,China,Wuhan Zall,61,1
14616,M. Pleașcă,Romania,Gaz Metan Mediaş,61,1
14617,R. Dâlbea,Romania,FC Hermannstadt,61,1
14618,N. Bădic,Romania,Politehnica Iaşi,61,1
14619,O. Ceylan,Turkey,Gazişehir Gaziantep F.K.,61,1
14620,B. Șandru,Romania,Chindia Târgovişte,61,1
14621,C. Dinu,Romania,Chindia Târgovişte,61,1
14622,D. Novac,Romania,Chindia Târgovişte,61,1
14623,A. Marinescu,Romania,Universitatea Craiova,61,1
14624,A. Țigănașu,Romania,FC Botoşani,61,1
14625,D. Pillai,India,India,61,1
14626,A. Velasco,Argentina,Independiente,60,1
14627,M. Bird,United Kingdom,Derby County,60,1
14628,Y. Begraoui,France,AJ Auxerre,60,1
14629,A. Bella-Kotchap,Germany,VfL Bochum 1848,60,1
14630,C. Haydar,Colombia,Junior FC,60,1
14631,E. Alvarez,Mexico,LA Galaxy,60,1
14632,A. Balanta,Colombia,Deportivo Cali,60,1
14633,G. Innocent,France,Paris Saint-Germain,60,1
14634,E. Sørensen,Denmark,Carlisle United,60,1
14635,S. Sohm,Switzerland,FC Zürich,60,1
14636,S. Bajic,France,AS Saint-Étienne,60,1
14637,P. Glatzel,Germany,Liverpool,60,1
14638,V. De Baunbag,Spain,RCD Mallorca,60,1
14639,I. Gruev,Bulgaria,SV Werder Bremen,60,1
14640,A. Hickey,United Kingdom,Heart of Midlothian,60,1
14641,M. Mercan,Germany,FC Schalke 04,60,1
14642,J. Latibeaudiere,United Kingdom,Manchester City,60,1
14643,B. Wilmot,United Kingdom,Swansea City,60,1
14644,A. Karnuçu,Turkey,Galatasaray SK,60,1
14645,A. Lewis,United Kingdom,Liverpool,60,1
14646,C. Bassett,United States,Colorado Rapids,60,1
14647,N. Djouahra,France,Real Sociedad,60,1
14648,D. Vlahovic,Serbia,Fiorentina,60,1
14649,A. van der Heide,Netherlands,SC Heerenveen,60,1
14650,K. Sardella,Belgium,RSC Anderlecht,60,1
14651,P. Bargiel,Poland,Milan,60,1
14652,L. Sandoval,Colombia,Junior FC,60,1
14653,E. Balcombe,United Kingdom,Brentford,60,1
14654,K. Klaesson,Norway,Vålerenga Fotball,60,1
14655,M. Bułka,Poland,Paris Saint-Germain,60,1
14656,S. Laiton,France,AJ Auxerre,60,1
14657,B. Adekanye,Netherlands,Lazio,60,1
14658,V. Kušej,Czech Republic,SG Dynamo Dresden,60,1
14659,B. Garré,Argentina,Manchester City,60,1
14660,G. Corbo,Italy,Bologna,60,1
14661,J. Scott,United Kingdom,Motherwell,60,1
14662,J. Peñaloza,Colombia,SD Huesca,60,1
14663,F. Navarro,Argentina,Club Atlético Talleres,60,1
14664,F. Hartmann,Germany,RB Leipzig,60,1
14665,I. Tarasov,Russia,HJK Helsinki,60,1
14666,T. Raschl,Germany,Borussia Dortmund,60,1
14667,Lee Soo Bin,South Korea,Pohang Steelers,60,1
14668,G. Ahadme,Morocco,Norwich City,60,1
14669,L. Greiml,Austria,SK Rapid Wien,60,1
14670,Jesús Alvarez,Spain,Real Zaragoza,60,1
14671,B. Bida,Poland,Jagiellonia Białystok,60,1
14672,W. Taïbi,France,Angers SCO,60,1
14673,A. Martina,Italy,Trapani,60,1
14674,T. Baack,Germany, SSV Jahn Regensburg,60,1
14675,J. Pereyra,Argentina,Rosario Central,60,1
14676,G. Güney,Turkey,Galatasaray SK,60,1
14677,B. Morris,United Kingdom,Ipswich Town,60,1
14678,R. Sears,United Kingdom,Shrewsbury,60,1
14679,B. Şen,Turkey,Galatasaray SK,60,1
14680,O. Brynhildsen,Norway,Stabæk Fotball,60,1
14681,E. Vertainen,Finland,HJK Helsinki,60,1
14682,S. Szota,Poland,Wisła Kraków,60,1
14683,B. Galván,Argentina,Club Atlético Colón,60,1
14684,J. Lahne,Sweden,Amiens SC,60,1
14685,K. Sessa,Germany,1. FC Heidenheim 1846,60,1
14686,R. Edmondson,United Kingdom,Leeds United,60,1
14687,A. Nava,Mexico,Club Tijuana,60,1
14688,A. Tripaldelli,Italy,Sassuolo,60,1
14689,Algobia,Spain,Rayo Vallecano,60,1
14690,K. Cannavò,Italy,Empoli,60,1
14691,H. Luna,Colombia,Unión Magdalena,60,1
14692,A. Ayala,Argentina,Estudiantes de La Plata,60,1
14693,C. Aguirre,Mexico,Club Necaxa,60,1
14694,Elias Ramírez,Spain,RCD Mallorca,60,1
14695,Jara,Spain,CD Numancia,60,1
14696,T. Nkada,France,Stade de Reims,60,1
14697,T. Sabitzer,Austria,LASK Linz,60,1
14698,Carlos Kevin,Spain,SD Huesca,60,1
14699,A. Dallas,United Kingdom,Cambridge United,60,1
14700,P. Mukairu,Nigeria,Antalyaspor,60,1
14701,F. Çetinkaya,Turkey,Kasimpaşa SK,60,1
14702,D. Duhaney,United Kingdom,Huddersfield Town,60,1
14703,E. Embleton,United Kingdom,Sunderland,60,1
14704,S. Lomónaco,Argentina,Godoy Cruz,60,1
14705,S. Stubbs,United Kingdom,Hamilton Academical FC,60,1
14706,F. Myhre,Norway,Vålerenga Fotball,60,1
14707,E. Botheim,Norway,Rosenborg BK,60,1
14708,J. Moder,Poland,Lech Poznań,60,1
14709,P. Sussek,Germany,FC Ingolstadt 04,60,1
14710,O. Bailey,United Kingdom,Birmingham City,60,1
14711,I. Ogbu,Nigeria,Rosenborg BK,60,1
14712,Álvaro García,Spain,Albacete BP,60,1
14713,A. Nguiamba,France,AS Nancy Lorraine,60,1
14714,O. Atilgan,Germany,SG Dynamo Dresden,60,1
14715,A. Verda,Mexico,Querétaro,60,1
14716,M. Kaufmann,Denmark,Aalborg BK,60,1
14717,M. Kumbulla,Albania,Hellas Verona,60,1
14718,A. Baroan,France,Chamois Niortais Football Club,60,1
14719,E. Majetschak,Germany,FC Erzgebirge Aue,60,1
14720,K. Arima,Japan,Kashima Antlers,60,1
14721,T. Ducrocq,France,Racing Club de Lens,60,1
14722,K. Mouanga,France,Angers SCO,60,1
14723,R. Fernández,Bolivia,Bolivia,60,1
14724,S. Soto,United States,Hannover 96,60,1
14725,M. Diarra,France,Toulouse Football Club,60,1
14726,B. Ndilu,France,FC Nantes,60,1
14727,A. Francis,Ghana,FC Nordsjælland,60,1
14728,R. Yilmaz,Turkey,Beşiktaş JK,60,1
14729,C. Ainley,United Kingdom,Crewe Alexandra,60,1
14730,I. Wilson,United Kingdom,Kilmarnock,60,1
14731,M. Ndjoli,United Kingdom,Gillingham,60,1
14732,L. Rivas,Argentina,Club Atlético Talleres,60,1
14733,M. Pompetti,Italy,Sampdoria,60,1
14734,D. Desprez,France,Racing Club de Lens,60,1
14735,Liu Ruofan,China,Shanghai Greenland Shenhua FC,60,1
14736,I. Kanu,United Kingdom,Peterborough United,60,1
14737,G. Gori,Italy,Fiorentina,60,1
14738,M. Cerofolini,Italy,Fiorentina,60,1
14739,F. Murray,United Kingdom,Hibernian,60,1
14740,E. Chilufya,Zambia,Djurgårdens IF,60,1
14741,D. Wanner,Germany,Borussia Dortmund,60,1
14742,N. Mekonnen,Germany,SC Preußen Münster,60,1
14743,A. Gürleyen,Germany,1. FSV Mainz 05,60,1
14744,M. Młyński,Poland,Arka Gdynia,60,1
14745,M. Talbi,France,Çaykur Rizespor,60,1
14746,M. Belkheir,Algeria,Torino,60,1
14747,F. Schwarzholz,Germany,FC Augsburg,60,1
14748,E. Bullaude,Argentina,Godoy Cruz,60,1
14749,R. Sans,France,FC Sochaux-Montbéliard,60,1
14750,S. Mackie,United Kingdom,Hibernian,60,1
14751,B. Moltenis,France,FC Sochaux-Montbéliard,60,1
14752,J. Sánchez de León,Argentina,Racing Club,60,1
14753,R. González,Argentina,Rosario Central,60,1
14754,M. Minchev,Bulgaria,Bulgaria,60,1
14755,A. Lungwitz,Germany,SpVgg Greuther Fürth,60,1
14756,K. Ehlers,Germany,SG Dynamo Dresden,60,1
14757,Patrick,Brazil,FC Sion,60,1
14758,A. Ugur,Belgium,Fortuna Sittard,60,1
14759,S. Bakaev,Russia,Spartak Moscow,60,1
14760,Barredo,Spain,SD Ponferradina,60,1
14761,Ismael,Spain,Real Betis,60,1
14762,Rúben Fonseca,Portugal,CD Tondela,60,1
14763,V. Pinto,Italy,Spezia,60,1
14764,I. Buckley-Ricketts,United Kingdom,Peterborough United,60,1
14765,J. Tilley,United Kingdom,Brighton & Hove Albion,60,1
14766,M. Peano,Argentina,Unión de Santa Fe,60,1
14767,C. Kahraman,Turkey,1. FC Union Berlin,60,1
14768,A. Maldonado,Argentina,Club Atlético Banfield,60,1
14769,S. Smith,United Kingdom,Cambridge United,60,1
14770,S. Pasquali,Australia,Western United FC,60,1
14771,V. Xenopoulos,Greece,Panathinaikos FC,60,1
14772,M. İnan,Turkey,Antalyaspor,60,1
14773,Yeun Jong Gyu,South Korea,FC Seoul,60,1
14774,C. O'Hare,United Kingdom,Aston Villa,60,1
14775,N. Røjkjær,Denmark,Esbjerg fB,60,1
14776,A. Hartigan,United Kingdom,AFC Wimbledon,60,1
14777,M. Fossey,United States,Fulham,60,1
14778,R. Boultam,Netherlands,US Cremonese,60,1
14779,R. Souici,France,Servette FC,60,1
14780,C. Hendry,United Kingdom,St. Johnstone FC,60,1
14781,F. Malagueño,Argentina,Club Atlético Talleres,60,1
14782,A. Al Hamdan,Saudi Arabia,Al Shabab,60,1
14783,M. Čović,Germany,Hertha BSC,60,1
14784,S. Asta,Germany,FC Augsburg,60,1
14785,C. Palacios,Chile,Unión Española,60,1
14786,Daniel Rebollo,Spain,Real Betis,60,1
14787,T. Badaloni,Argentina,Godoy Cruz,60,1
14788,P. Sokół,Poland,Korona Kielce,60,1
14789,T. van den Belt,Netherlands,PEC Zwolle,60,1
14790,S. Tiffoney,United Kingdom,Livingston FC,60,1
14791,B. Hadžić,Bosnia and Herzegovina,Hannover 96,60,1
14792,N. Capaldo,Argentina,Boca Juniors,60,1
14793,J. Rivera,Colombia,Atlético Nacional,60,1
14794,I. Baidoo,Ghana,Górnik Zabrze,60,1
14795,Li Haoran,China,Royal Antwerp FC,60,1
14796,D. Köhn,Germany,Bayern München II,60,1
14797,A. Maiz,Paraguay,Defensa y Justicia,60,1
14798,M. Çapkan,Turkey,Çaykur Rizespor,60,1
14799,G. Lapslie,United Kingdom,Charlton Athletic,60,1
14800,K. Benyu,Zimbabwe,Helsingborgs IF,60,1
14801,H. Coulson,United Kingdom,Middlesbrough,60,1
14802,T. Glover,Australia,Melbourne City FC,60,1
14803,F. Puntoriere,Italy,Virtus Entella,60,1
14804,M. Di Paola,Italy,Virtus Entella,60,1
14805,A. Lewis,United Kingdom,Lincoln City,60,1
14806,R. Hale,Ireland,St. Patrick's Athletic,60,1
14807,M. Mølvadgaard,Denmark,Randers FC,60,1
14808,D. Franke,Germany,SV Wehen Wiesbaden,60,1
14809,K. Denkey,Togo,Nîmes Olympique,60,1
14810,J. Torres,United States,New York City FC,60,1
14811,J. Díaz,Argentina,Estudiantes de La Plata,60,1
14812,H. Al Ghamdi,Saudi Arabia,Ettifaq FC,60,1
14813,R. Sadiku,Bosnia and Herzegovina,Royal Excel Mouscron,60,1
14814,G. Tanner,United Kingdom,Morecambe,60,1
14815,W. Kuzain,United States,Sporting Kansas City,60,1
14816,C. Frommann,Germany,SG Sonnenhof Großaspach,60,1
14817,Y. Otto,Germany,Eintracht Braunschweig,60,1
14818,J. Stanić,Croatia,FC Augsburg,60,1
14819,M. Kilman,United Kingdom,Wolverhampton Wanderers,60,1
14820,M. Rieder,Netherlands,ADO Den Haag,60,1
14821,M. Batmaz,Turkey,Karlsruher SC,60,1
14822,A. Mironov,Russia,Lokomotiv Moscow,60,1
14823,M. De Smet,Belgium,SV Zulte-Waregem,60,1
14824,K. Maradishvili,Russia,PFC CSKA Moscow,60,1
14825,F. Alves,Denmark,Silkeborg IF,60,1
14826,Y. Ibrahim,Germany,FC Würzburger Kickers,60,1
14827,W. Coulibaly,France,Le Havre AC,60,1
14828,R. Neciu,Romania,Chindia Târgovişte,60,1
14829,N. Kölle,Germany,1. FSV Mainz 05,60,1
14830,A. Álvarez,Argentina,Godoy Cruz,60,1
14831,F. Sachpekidis,Sweden,Kalmar FF,60,1
14832,V. Arboleda,Colombia,Alianza Petrolera,60,1
14833,D. Margush,Australia,Adelaide United,60,1
14834,J. Kitolano,Norway,Wolverhampton Wanderers,60,1
14835,J. Karlstrøm,Norway,Tromsø IL,60,1
14836,D. Ceter,Colombia,Chievo Verona,60,1
14837,S. Spahiu,Belgium,Royal Excel Mouscron,60,1
14838,D. Ryan,Australia,Willem II,60,1
14839,A. Collins,United Kingdom,Exeter City,60,1
14840,F. Garcés,Argentina,Club Atlético Colón,60,1
14841,E. Cantú,Mexico,Monterrey,60,1
14842,M. Borgogno,Argentina,Vélez Sarsfield,60,1
14843,B. Żynel,Poland,Wisła Płock,60,1
14844,L. Coordes,Dominican Republic,FC St. Pauli,60,1
14845,J. Asiri,Saudi Arabia,Al Wehda,60,1
14846,J. Bednarczyk,Poland,FC St. Pauli,60,1
14847,L. Martínez,Mexico,Club Tijuana,60,1
14848,J. Bartels,Germany,SV Wehen Wiesbaden,60,1
14849,V. Drkušić,Slovenia,SC Heerenveen,60,1
14850,V. Gendrey,France,Amiens SC,60,1
14851,Manu Navarro,Spain,Rayo Vallecano,60,1
14852,R. Musaba,Netherlands,Vitesse,60,1
14853,P. Vassell,Jamaica,Los Angeles FC,60,1
14854,J. García,Mexico,Tigres U.A.N.L.,60,1
14855,M. Velisar,Romania,Gaz Metan Mediaş,60,1
14856,A. Stahl,Romania,Astra Giurgiu,60,1
14857,M. Cavar,Switzerland,Chievo Verona,60,1
14858,A. Tribuzzi,Italy,Frosinone,60,1
14859,V. Kucheruk,Ukraine,Dynamo Kyiv,60,1
14860,N. Husin,Afghanistan,Stevenage,60,1
14861,T. Watson,United Kingdom,Reading,60,1
14862,C. Miller,United Kingdom,Celtic,60,1
14863,J. Valencia,Colombia,Unión Magdalena,60,1
14864,A. Wilk,Poland,Cracovia,60,1
14865,A. Chrzanowski,Poland,Lechia Gdańsk,60,1
14866,I. Rojas,Colombia,Envigado FC,60,1
14867,E. Kastrati,Albania,Pescara,60,1
14868,H. Sarpei,Ghana,SpVgg Greuther Fürth,60,1
14869,A. Jung,France,La Berrichonne de Châteauroux,60,1
14870,V. van den Bogert,Netherlands,Willem II,60,1
14871,H. Delcroix,Belgium,RKC Waalwijk,60,1
14872,U. Bapoh,Germany,VfL Bochum 1848,60,1
14873,C. Echavarría,Colombia,Independiente Medellín,60,1
14874,R. Bidounga,France,AS Nancy Lorraine,60,1
